>  Running time: 2022-04-27_17:52:25
>  A(9.99 39.94) B(14.55 39.93) 0
10.6819699847 39.9499835756 59 -2576.78594595
10.6936999066 39.9501173326 60 -2581.88972473
10.7054298742 39.9502499075 61 -2591.20460748
10.717159887 39.9503813003 62 -2602.37465022
10.7288899447 39.9505115109 63 -2605.46135047
10.7406200468 39.9506405394 64 -2612.50876194
10.752350193 39.9507683857 65 -2661.33526856
10.7640803828 39.9508950499 66 -2725.51269657
10.7758106159 39.9510205319 67 -2761.40194006
10.7875408918 39.9511448318 68 -2762.49484924
10.7992712102 39.9512679494 69 -2757.16340654
10.8110015706 39.9513898849 70 -2759.25498353
10.8227319725 39.9515106381 71 -2759.90485951
10.8344624157 39.9516302092 72 -2770.44082945
10.8461928998 39.951748598 73 -2768.04747566
10.8579234242 39.9518658046 74 -2770.9108672
10.8696539886 39.951981829 75 -2779.16813956
10.8813845926 39.9520966711 76 -2770.81610007
10.8931152358 39.9522103309 77 -2753.92026663
10.9048459178 39.9523228085 78 -2740.88297567
10.9165766382 39.9524341038 79 -2749.96239108
10.9283073965 39.9525442168 80 -2733.14886852
10.9400381924 39.9526531475 81 -2731.49546149
10.9517690255 39.9527608959 82 -2708.07445632
10.9634998953 39.9528674621 83 -2723.90588471
10.9752308015 39.9529728459 84 -2733.95883321
10.9869617436 39.9530770473 85 -2762.34934678
10.9986927213 39.9531800665 86 -2744.88953913
11.0104237341 39.9532819033 87 -2746.9649306
11.0221547816 39.9533825577 88 -2768.48494789
11.0338858635 39.9534820298 89 -2773.13982775
11.0456169792 39.9535803195 90 -2770.99315884
11.0573481285 39.9536774269 91 -2774.38019225
11.0690793109 39.9537733519 92 -2822.95172393
11.080810526 39.9538680945 93 -2840.35967901
11.0925417734 39.9539616547 94 -2842.26917734
11.1042730527 39.9540540325 95 -2842.37094547
11.1160043635 39.9541452278 96 -2847.97762777
11.1277357054 39.9542352408 97 -2859.60360537
11.1394670779 39.9543240714 98 -2866.05869479
11.1511984807 39.9544117195 99 -2865.08175177
11.1629299134 39.9544981852 100 -2874.88488277
11.1746613756 39.9545834684 101 -2884.83711992
11.1863928667 39.9546675692 102 -2888.68744893
11.1981243866 39.9547504876 103 -2899.08576841
11.2098559347 39.9548322234 104 -2902.24046958
11.2215875106 39.9549127769 105 -2898.71361771
11.233319114 39.9549921478 106 -2901.59352404
11.2450507444 39.9550703363 107 -2895.03151937
11.2567824014 39.9551473422 108 -3005.04146781
