>  Running time: 2022-04-27_18:04:38
>  A(17.24 41.00) B(19.35 43.50) 0
17.5512636466 41.383838782 50 -1114.40267728
17.5575262983 41.3915069723 51 -1119.83445618
17.5637904276 41.399174823 52 -1119.28912419
17.5700560351 41.4068423339 53 -1116.94297712
17.5763231216 41.4145095048 54 -1118.43703678
17.5825916878 41.4221763355 55 -1118.50666149
17.5888617342 41.429842826 56 -1117.03741433
17.5951332616 41.4375089759 57 -1117.15315342
17.6014062707 41.4451747852 58 -1121.08244684
17.6076807622 41.4528402536 59 -1126.40232465
17.6139567367 41.460505381 60 -1130.75308981
17.6202341949 41.4681701673 61 -1134.49891537
17.6265131376 41.4758346122 62 -1137.3021279
17.6327935653 41.4834987155 63 -1136.27135496
17.6390754789 41.4911624772 64 -1135.43657798
17.6453588789 41.4988258969 65 -1136.01254412
17.6516437661 41.5064889747 66 -1137.03911857
17.6579301411 41.5141517102 67 -1137.03595898
17.6642180046 41.5218141033 68 -1136.99755915
17.6705073574 41.5294761538 69 -1139.62698435
17.6767982 41.5371378616 70 -1143.69039259
17.6830905333 41.5447992265 71 -1147.75451144
17.6893843578 41.5524602483 72 -1151.19395624
17.6956796743 41.5601209268 73 -1151.95536014
17.7019764835 41.5677812619 74 -1149.89035567
17.708274786 41.5754412534 75 -1147.05570841
17.7145745826 41.583100901 76 -1144.43952611
17.7208758738 41.5907602048 77 -1142.60367898
17.7271786605 41.5984191644 78 -1140.79923518
17.7334829433 41.6060777797 79 -1139.17608567
17.7397887229 41.6137360505 80 -1134.71520855
17.746096 41.6213939766 81 -1127.83804333
17.7524047753 41.629051558 82 -1120.52005807
17.7587150495 41.6367087943 83 -1115.19446952
17.7650268232 41.6443656854 84 -1110.75278386
17.7713400971 41.6520222312 85 -1108.34546793
17.7776548721 41.6596784314 86 -1109.28860246
17.7839711486 41.667334286 87 -1113.55408603
17.7902889275 41.6749897946 88 -1118.72919347
17.7966082094 41.6826449572 89 -1130.07842348
17.8029289951 41.6902997736 90 -1141.55824296
17.8092512852 41.6979542436 91 -1150.32449161
17.8155750804 41.7056083669 92 -1158.50916126
17.8219003814 41.7132621436 93 -1165.50460673
17.8282271889 41.7209155732 94 -1167.4300314
17.8345555036 41.7285686558 95 -1164.69065827
17.8408853262 41.7362213911 96 -1157.41744754
17.8472166574 41.7438737789 97 -1148.6040419
17.8535494978 41.7515258191 98 -1138.97124617
17.8598838483 41.7591775115 99 -1128.79887728
17.8662197095 41.7668288558 100 -1120.90652993
17.872557082 41.774479852 101 -1114.79491095
17.8788959666 41.7821304999 102 -1113.30510755
17.885236364 41.7897807992 103 -1114.93366757
17.8915782749 41.7974307498 104 -1120.43242474
17.8979216999 41.8050803516 105 -1128.73171295
17.9042666398 41.8127296043 106 -1138.07833546
17.9106130953 41.8203785078 107 -1146.89639499
17.9169610671 41.8280270618 108 -1154.25028929
17.9233105559 41.8356752663 109 -1160.01101071
17.9296615623 41.843323121 110 -1162.6928956
17.9360140871 41.8509706258 111 -1162.63995665
17.942368131 41.8586177805 112 -1162.147614
17.9487236947 41.8662645848 113 -1160.78351878
17.9550807788 41.8739110387 114 -1159.38797004
17.9614393841 41.8815571419 115 -1159.30481779
17.9677995114 41.8892028943 116 -1159.73247638
17.9741611612 41.8968482957 117 -1161.1743132
17.9805243343 41.9044933459 118 -1164.17405666
17.9868890314 41.9121380448 119 -1166.75459585
17.9932552532 41.9197823921 120 -1169.46266575
17.9996230005 41.9274263877 121 -1171.99126571
18.0059922738 41.9350700313 122 -1175.07842886
18.012363074 41.9427133229 123 -1180.84507207
18.0187354016 41.9503562623 124 -1186.55973349
18.0251092576 41.9579988492 125 -1188.65720033
18.0314846424 41.9656410835 126 -1188.08624212
18.0378615569 41.9732829649 127 -1188.14231976
18.0442400017 41.9809244935 128 -1188.94345414
18.0506199776 41.9885656688 129 -1188.47511659
18.0570014853 41.9962064908 130 -1187.55270082
18.0633845254 42.0038469593 131 -1189.69623429
18.0697690987 42.0114870742 132 -1189.58801833
18.0761552059 42.0191268351 133 -1188.33194193
18.0825428477 42.026766242 134 -1186.57552572
18.0889320248 42.0344052946 135 -1184.78067988
18.0953227379 42.0420439929 136 -1181.12589169
18.1017149878 42.0496823365 137 -1177.85429696
18.1081087751 42.0573203254 138 -1173.99102412
18.1145041005 42.0649579593 139 -1170.80328625
18.1209009648 42.0725952381 140 -1166.94571302
18.1272993686 42.0802321616 141 -1163.67846936
18.1336993128 42.0878687295 142 -1159.52451385
18.1401007979 42.0955049418 143 -1155.030134
18.1465038247 42.1031407983 144 -1147.34373776
18.152908394 42.1107762987 145 -1137.99416337
18.1593145063 42.1184114428 146 -1126.52644542
18.1657221626 42.1260462306 147 -1112.738092
18.1721313634 42.1336806618 148 -1098.93362159
18.1785421094 42.1413147362 149 -1084.16856428
18.1849544014 42.1489484537 150 -1068.95159336
18.1913682402 42.156581814 151 -1051.25729909
18.1977836263 42.1642148171 152 -1032.23989978
18.2042005606 42.1718474626 153 -1011.73364198
18.2106190438 42.1794797505 154 -993.006702419
18.2170390765 42.1871116805 155 -973.492627011
18.2234606594 42.1947432525 156 -955.072201093
18.2298837934 42.2023744662 157 -929.531460871
18.2363084791 42.2100053216 158 -897.746195135
18.2427347172 42.2176358183 159 -854.624705855
18.2491625085 42.2252659563 160 -802.666650733
18.2555918536 42.2328957354 161 -745.241474225
18.2620227533 42.2405251553 162 -687.528154088
18.2684552083 42.2481542159 163 -623.961498909
18.2748892194 42.255782917 164 -558.946312366
18.2813247871 42.2634112584 165 -503.247267103
18.2877619124 42.2710392399 166 -442.845494325
18.2942005958 42.2786668614 167 -385.236256191
18.3006408381 42.2862941227 168 -338.196885153
18.3070826401 42.2939210235 169 -303.755059757
18.3135260024 42.3015475638 170 -285.513649784
18.3199709257 42.3091737432 171 -274.918577378
18.3264174109 42.3167995617 172 -274.964083328
18.3328654586 42.3244250191 173 -276.393628754
18.3393150694 42.3320501151 174 -267.645011402
18.3457662443 42.3396748495 175 -248.883998707
18.3522189838 42.3472992223 176 -229.039055675
18.3586732888 42.3549232332 177 -209.598485371
18.3651291598 42.362546882 178 -182.682107497
18.3715865977 42.3701701685 179 -160.576757411
18.3780456032 42.3777930926 180 -152.888922184
18.384506177 42.3854156541 181 -151.001821679
18.3909683198 42.3930378528 182 -144.903024531
18.3974320324 42.4006596884 183 -133.836473606
18.4038973154 42.4082811609 184 -124.742987612
18.4103641697 42.41590227 185 -119.663917211
18.4168325959 42.4235230156 186 -117.706926546
18.4233025947 42.4311433974 187 -117.371390432
18.4297741669 42.4387634153 188 -48.0742483555
18.4362473133 42.4463830691 189 -20.3270487703
18.4427220344 42.4540023585 190 76.2712653986
18.4491983312 42.4616212835 191 299.162083337
18.4556762042 42.4692398439 192 307.315719501
18.4621556543 42.4768580393 193 132.144037732
18.4686366822 42.4844758698 194 284.175048312
18.4751192885 42.492093335 195 393.487230239
18.481603474 42.4997104348 196 518.549823876
18.4880892395 42.5073271689 197 517.534518188
18.4945765857 42.5149435373 198 666.036547568
18.5010655133 42.5225595398 199 1017.91336499
18.507556023 42.530175176 200 1025.23500192
18.5140481156 42.5377904459 201 1092.04905557
18.5205417918 42.5454053493 202 1138.79724917
18.5270370523 42.5530198859 203 1222.30323453
18.533533898 42.5606340557 204 1351.90609417
18.5400323294 42.5682478583 205 1731.88352038
18.5465323473 42.5758612937 206 1632.55891035
18.5530339526 42.5834743616 207 1672.92303122
18.5595371458 42.5910870618 208 1482.23410816
18.5660419278 42.5986993942 209 1427.87107526
18.5725482993 42.6063113585 210 1324.00610684
18.579056261 42.6139229546 211 1229.16553308
18.5855658136 42.6215341823 212 1228.17515385
18.5920769579 42.6291450414 213 1273.95748504
18.5985896947 42.6367555317 214 1225.90343286
18.6051040246 42.644365653 215 1055.84791276
18.6116199484 42.6519754052 216 841.829990889
18.6181374668 42.659584788 217 775.370269585
18.6246565806 42.6671938013 218 894.255634095
18.6311772905 42.6748024448 219 872.77787734
18.6376995973 42.6824107184 220 1007.24889093
18.6442235016 42.6900186219 221 1047.19304469
18.6507490043 42.6976261551 222 1011.95630071
18.657276106 42.7052333178 223 980.91070978
18.6638048076 42.7128401098 224 959.092376724
18.6703351097 42.7204465309 225 905.30931468
18.6768670131 42.728052581 226 960.242249426
18.6834005185 42.7356582598 227 939.346980531
18.6899356267 42.7432635672 228 860.225685487
18.6964723384 42.750868503 229 821.403123218
18.7030106544 42.758473067 230 890.98360145
18.7095505753 42.7660772589 231 881.399747995
18.716092102 42.7736810786 232 856.284910275
18.7226352352 42.781284526 233 846.160087449
18.7291799756 42.7888876007 234 855.135545672
18.735726324 42.7964903027 235 862.360648797
18.7422742811 42.8040926317 236 903.05766612
18.7488238477 42.8116945876 237 897.460586769
18.7553750245 42.8192961701 238 906.449771538
18.7619278122 42.8268973791 239 853.424731674
18.7684822116 42.8344982144 240 847.976401127
18.7750382235 42.8420986757 241 932.867282567
18.7815958485 42.849698763 242 1121.93307561
18.7881550875 42.8572984759 243 1190.30464237
18.7947159412 42.8648978143 244 1355.63036384
18.8012784103 42.8724967781 245 1429.17521024
18.8078424956 42.8800953669 246 1114.28085475
18.8144081978 42.8876935807 247 854.038978063
18.8209755177 42.8952914193 248 946.582243535
18.827544456 42.9028888824 249 1060.96323831
18.8341150135 42.9104859698 250 1010.10241238
18.8406871909 42.9180826814 251 1162.70262695
18.847260989 42.925679017 252 1172.03991507
18.8538364085 42.9332749763 253 1292.51999733
18.8604134502 42.9408705592 254 1318.53917496
18.8669921148 42.9484657655 255 1442.08987991
18.8735724031 42.956060595 256 1375.67709539
18.8801543159 42.9636550475 257 1327.72471541
18.8867378538 42.9712491229 258 1155.8801258
18.8933230176 42.9788428208 259 1179.51029959
18.8999098082 42.9864361411 260 1009.40677642
18.9064982262 42.9940290837 261 971.141970485
18.9130882723 43.0016216483 262 1029.67094862
