  0.0000000E+00  0.3714488       6.899908    
   5.000000      -12.33087       5.111246    
   10.00000      -25.55703       5.935583    
   15.00000      -29.18183       4.279846    
   20.00000      -24.54198       4.615876    
   25.00000      -18.37035       8.284022    
   30.00000      -17.37012       7.692848    
   35.00000      -18.96838       8.842013    
   40.00000      -17.96438       11.34665    
   45.00000      -11.44044       14.84653    
   50.00000      -2.697115       19.21670    
   55.00000      -2.510525       12.05155    
   60.00000      -1.643854       9.593214    
   65.00000     -0.2503021       7.049588    
   70.00000     -0.3772409       6.637459    
   75.00000      -1.739583       6.485214    
   80.00000      -5.105487       6.099116    
   85.00000      -7.947659       5.519958    
   90.00000      -8.270177       4.494962    
   95.00000      -5.858562       2.848243    
   100.0000      -1.705948       2.167365    
   105.0000       1.908420       2.025629    
   110.0000       2.867469       1.592605    
   115.0000       1.202351       1.209248    
   120.0000      0.2915833       1.558221    
   125.0000       1.723149       2.114539    
   130.0000       3.981251       1.871625    
   135.0000       6.044283       2.058347    
   140.0000       5.968022       2.587310    
   145.0000       5.322885       2.508600    
   150.0000       8.881461       4.976488    
   155.0000       9.796679       8.922042    
   160.0000       12.39948       12.13673    
   165.0000       15.18950       12.03711    
   170.0000       7.642032       10.30193    
   175.0000      0.8155178       5.032706    
   180.0000     -0.1110595       2.547888    
   185.0000      -1.229726       3.736481    
   190.0000     -0.6466973       5.879473    
   195.0000      0.2911811       4.021549    
   200.0000       2.333470       4.133690    
   205.0000       3.672788       6.076640    
   210.0000       6.483121       5.076199    
   215.0000       4.754055       2.417583    
   220.0000       5.883905       3.778162    
   225.0000       8.656437       6.949811    
   230.0000       10.40611       9.352506    
   235.0000       9.779837       8.393469    
   240.0000       6.562082       6.897971    
   245.0000      7.8474827E-02   6.475373    
   250.0000      -5.320027       4.883158    
   255.0000      -9.401677       2.884333    
   260.0000      -8.220364       4.019913    
   265.0000      -3.162801       7.816757    
   270.0000     -0.9789715       9.939243    
   275.0000       2.935100       10.25750    
   280.0000       5.771653       7.785742    
   285.0000       5.255508       4.167629    
   290.0000       3.892416       4.614452    
   295.0000       4.608368       3.289243    
   300.0000       8.635925       5.709762    
   305.0000       13.38592       8.559210    
   310.0000       19.16606       9.861217    
   315.0000       24.46643       8.053083    
   320.0000       28.17627       9.746167    
   325.0000       32.11839       10.78401    
   330.0000       34.94539       7.493636    
   335.0000       36.49250       5.048716    
   340.0000       36.58218       3.535787    
   345.0000       33.07489       4.014031    
   350.0000       30.12706       6.421642    
   355.0000       26.00785       5.366664    
   360.0000       27.00968       7.236325    
   365.0000       30.73652       10.82352    
   370.0000       34.11948       10.14426    
   375.0000       37.33516       11.12559    
   380.0000       35.63584       9.278025    
   385.0000       32.48845       6.875130    
   390.0000       26.99732       12.01099    
   395.0000       18.22463       11.69610    
   400.0000       22.60157       11.29852    
   405.0000       37.34702       13.16092    
   410.0000       39.76548       17.45765    
   415.0000       46.70660       16.07534    
   420.0000       47.26105       13.04837    
   425.0000       48.82539       9.908969    
   430.0000       46.19641       12.55724    
   435.0000       47.56873       15.11402    
   440.0000       60.45248       18.81223    
