98	28	0	2205.75585938
98.0010185094	28.0000073656	0.1	2273.21071777
98.002037019	28.0000147237	0.2	2336.57335576
98.0030555287	28.0000220744	0.3	2397.12567637
98.0040740386	28.0000294175	0.4	2456.14565191
98.0050925486	28.0000367531	0.5	2514.90732493
98.0061110587	28.0000440812	0.6	2574.6808191
98.007129569	28.0000514018	0.7	2636.73234873
98.0081480794	28.0000587148	0.8	2702.32420448
98.00916659	28.0000660204	0.9	2770.78269601
98.0101851007	28.0000733185	1	2838.77215795
98.0112036115	28.0000806091	1.1	2905.92556791
98.0122221224	28.0000878921	1.2	2971.96209488
98.0132406336	28.0000951677	1.3	3036.60008098
98.0142591448	28.0001024358	1.4	3099.55698717
98.0152776562	28.0001096963	1.5	3160.54946595
98.0162961677	28.0001169494	1.6	3219.29331948
98.0173146793	28.0001241949	1.7	3275.50351379
98.0183331911	28.000131433	1.8	3328.8941955
98.019351703	28.0001386635	1.9	3379.17866369
98.0203702151	28.0001458865	2	3426.06940649
98.0213887273	28.000153102	2.1	3469.27807674
98.0224072396	28.0001603101	2.2	3508.51551308
98.0234257521	28.0001675106	2.3	3543.49173336
98.0244442647	28.0001747036	2.4	3573.91593796
98.0254627775	28.0001818891	2.5	3599.5076699
98.0264812903	28.0001890671	2.6	3620.25980365
98.0274998033	28.0001962376	2.7	3636.44678414
98.0285183165	28.0002034005	2.8	3648.35547173
98.0295368298	28.000210556	2.9	3656.27246319
98.0305553432	28.000217704	3	3660.48408234
98.0315738568	28.0002248445	3.1	3661.27638402
98.0325923704	28.0002319774	3.2	3658.93514961
98.0336108843	28.0002391029	3.3	3653.74589184
98.0346293982	28.0002462209	3.4	3645.99384678
98.0356479123	28.0002533313	3.5	3635.96397301
98.0366664265	28.0002604343	3.6	3623.94096043
98.0376849409	28.0002675297	3.7	3610.20921326
98.0387034554	28.0002746176	3.8	3595.05286542
98.03972197	28.0002816981	3.9	3578.75577086
98.0407404848	28.000288771	4	3561.60149705
98.0417589997	28.0002958364	4.1	3543.85152924
98.0427775147	28.0003028943	4.2	3522.77778155
98.0437960299	28.0003099447	4.3	3496.81790699
98.0448145452	28.0003169876	4.4	3466.66036893
98.0458330606	28.000324023	4.5	3432.99422485
98.0468515762	28.0003310509	4.6	3396.50912288
98.0478700919	28.0003380713	4.7	3357.8953111
98.0488886077	28.0003450842	4.8	3317.84362568
98.0499071237	28.0003520896	4.9	3277.04548857
98.0509256398	28.0003590875	5	3236.19291797
98.051944156	28.0003660778	5.1	3195.97851411
98.0529626723	28.0003730607	5.2	3157.09546461
98.0539811888	28.0003800361	5.3	3120.23753468
98.0549997055	28.0003870039	5.4	3086.09907613
98.0560182222	28.0003939643	5.5	3055.37502887
98.0570367391	28.0004009171	5.6	3028.76089673
98.0580552561	28.0004078624	5.7	3006.95277156
98.0590737733	28.0004148003	5.8	2990.74844503
98.0600922905	28.0004217306	5.9	2980.35495753
98.061110808	28.0004286534	6	2974.97853797
98.0621293255	28.0004355687	6.1	2973.79144836
98.0631478432	28.0004424765	6.2	2975.96516865
98.064166361	28.0004493768	6.3	2980.67040406
98.0651848789	28.0004562696	6.4	2987.07708831
98.066203397	28.0004631549	6.5	2994.35438878
98.0672219151	28.0004700327	6.6	3001.67070761
98.0682404335	28.000476903	6.7	3008.19369126
98.0692589519	28.0004837658	6.8	3013.09022717
98.0702774705	28.0004906211	6.9	3015.52645472
98.0712959892	28.0004974688	7	3014.66776349
98.0723145081	28.0005043091	7.1	3009.67880412
98.073333027	28.0005111419	7.2	2999.72348614
98.0743515461	28.0005179671	7.3	2983.96498091
98.0753700654	28.0005247849	7.4	2961.35154861
98.0763885847	28.0005315951	7.5	2929.38933516
98.0774071042	28.0005383978	7.6	2888.74188269
98.0784256238	28.0005451931	7.7	2840.88723853
98.0794441436	28.0005519808	7.8	2787.30385383
98.0804626634	28.000558761	7.9	2729.47061245
98.0814811834	28.0005655337	8	2668.86678243
98.0824997035	28.000572299	8.1	2606.972053
98.0835182238	28.0005790567	8.2	2545.26649619
98.0845367442	28.0005858069	8.3	2485.23059445
98.0855552647	28.0005925496	8.4	2428.34521213
98.0865737853	28.0005992848	8.5	2376.09159846
98.0875923061	28.0006060124	8.6	2329.95137787
98.088610827	28.0006127326	8.7	2291.40656392
98.089629348	28.0006194453	8.8	2261.93953313
98.0906478691	28.0006261505	8.9	2243.0330303
98.0916663904	28.0006328481	9	2236.1701621
98.0926849118	28.0006395383	9.1	2241.33269166
98.0937034333	28.0006462209	9.2	2256.78827244
98.094721955	28.0006528961	9.3	2281.45048982
98.0957404768	28.0006595637	9.4	2314.23240685
98.0967589987	28.0006662239	9.5	2354.04657958
98.0977775207	28.0006728765	9.6	2399.80505338
98.0987960429	28.0006795216	9.7	2450.41937751
98.0998145651	28.0006861592	9.8	2504.80058529
98.1008330875	28.0006927894	9.9	2561.85923509
98.1018516101	28.000699412	10	2620.50538031
98.1028701327	28.0007060271	10.1	2679.64857579
98.1038886555	28.0007126347	10.2	2738.19791352
98.1049071784	28.0007192348	10.3	2795.06198673
98.1059257014	28.0007258274	10.4	2849.14891683
98.1069442246	28.0007324124	10.5	2899.36635546
98.1079627479	28.00073899	10.6	2944.62147539
98.1089812713	28.0007455601	10.7	2985.15730129
98.1099997948	28.0007521227	10.8	3025.15986412
98.1110183185	28.0007586777	10.9	3064.95743216
98.1120368422	28.0007652253	11	3104.46441873
98.1130553661	28.0007717653	11.1	3143.59634987
98.1140738902	28.0007782979	11.2	3182.26983748
98.1150924143	28.0007848229	11.3	3220.40257769
